Total Dom. Cargo Flights,Total Intl. Cargo Flights,Total Cargo Flights,Total Dom. Cargo Freight Ton Miles,Total Intl. Cargo Freight Ton Miles,Total Cargo Freight Ton Miles,Total Dom. Cargo Revenue Ton Miles,Total Intl. Cargo Revenue Ton Miles,Total Cargo Revenue Ton Miles,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB in U.S. Dollars per Gallon
45158,15799,60957.0,1200702,2132861,3333563.0,1121990,1560947,2682937.0,1.4416363636363638
40843,14301,55144.0,1108177,2043004,3151181.0,1033888,1484091,2517979.0,1.5015000000000005
43579,15490,59069.0,1163531,2132429,3295960.0,1083690,1539291,2622981.0,1.408409090909091
45253,15505,60758.0,1191922,2150233,3342155.0,1107685,1551699,2659384.0,1.2916190476190477
41726,15059,56785.0,1142808,2209396,3352204.0,1062745,1594785,2657530.0,1.42835
47311,15797,63108.0,1247760,2181681,3429441.0,1166453,1591349,2757802.0,1.5803913043478262
42871,14424,57295.0,1196531,2219539,3416070.0,1120467,1622652,2743119.0,1.7787894736842105
45147,15591,60738.0,1274659,2344762,3619421.0,1196572,1690627,2887199.0,1.660260869565217
47144,16175,63319.0,1347911,2390008,3737919.0,1271538,1801027,3072565.0,1.7640454545454545
53715,14763,68478.0,1428683,2237651,3666334.0,1362853,1656214,3019067.0,1.8181578947368422
43773,15518,59291.0,1184302,2110437,3294739.0,1120357,1591145,2711502.0,1.9559999999999995
40369,14236,54605.0,1084832,1907697,2992529.0,1016036,1370346,2386382.0,1.8409000000000002
46928,16060,62988.0,1267939,2374118,3642057.0,1196737,1740288,2937025.0,1.8544500000000004
42945,15301,58246.0,1197566,2249778,3447344.0,1126174,1634846,2761020.0,2.0170909090909093
47397,16378,63775.0,1289984,2359784,3649768.0,1211317,1738190,2949507.0,2.15795652173913
46413,15615,62028.0,1259312,2342720,3602032.0,1182008,1713402,2895410.0,2.08785
44693,15620,60313.0,1237270,2320392,3557662.0,1162519,1681991,2844510.0,2.0964545454545456
48919,15868,64787.0,1324687,2246020,3570707.0,1250726,1630910,2881636.0,2.1201363636363637
44147,15192,59339.0,1265471,2339770,3605241.0,1196551,1735114,2931665.0,2.1952499999999997
47232,16750,63982.0,1355128,2490967,3846095.0,1277430,1834163,3111593.0,2.2395652173913048
48438,16182,64620.0,1342435,2370336,3712771.0,1264666,1814537,3079203.0,1.9445263157894732
54263,15028,69291.0,1447244,2260349,3707593.0,1390725,1710001,3100726.0,1.7119444444444445
47458,15975,63433.0,1249964,2148523,3398487.0,1184875,1643523,2828398.0,1.7967391304347828
42751,13908,56659.0,1081225,1840212,2921437.0,1023788,1340404,2364192.0,1.9174999999999998
47188,15918,63106.0,1291512,2393661,3685173.0,1218760,1789581,3008341.0,1.9012857142857142
45297,15758,61055.0,1264516,2252569,3517085.0,1203508,1710438,2913946.0,1.9814090909090902
48525,16241,64766.0,1326830,2316592,3643422.0,1265407,1745784,3011191.0,1.9702272727272723
46075,15186,61261.0,1278614,2219230,3497844.0,1216155,1656249,2872404.0,1.8215238095238095
48216,16228,64444.0,1293400,2263220,3556620.0,1235910,1696662,2932572.0,1.9109565217391307
50152,15897,66049.0,1333814,2234373,3568187.0,1276356,1691324,2967680.0,1.7974761904761904
44277,15121,59398.0,1237258,2195828,3433086.0,1178950,1643105,2822055.0,1.8730454545454542
51316,16590,67906.0,1368241,2354294,3722535.0,1309991,1770684,3080675.0,1.861391304347826
47416,15749,63165.0,1349325,2391157,3740482.0,1286538,1852418,3138956.0,1.8227
56928,14118,71046.0,1489985,2047471,3537456.0,1440590,1527672,2968262.0,1.891772727272727
48607,15027,63634.0,1258004,2047453,3305457.0,1204853,1567917,2772770.0,1.769727272727273
44918,13646,58564.0,1096447,1763931,2860378.0,1041593,1303777,2345370.0,1.5133500000000002
47716,15662,63378.0,1381860,2138532,3520392.0,1340926,1825586,3166512.0,0.9401304347826086
48940,15785,64725.0,1393026,2016900,3409926.0,1387664,1943323,3330987.0,0.6021363636363636
